Intelligence	Strength	Agility	Pusher	Ranged	Melee	Carry	Support	Nuker	Initiator	Disabler	Jungler	Escape	Long CD Dependant	Durable
Shadow Demon	T	Spectre		Necrophos	O	T		Shadow Demon	Tusk	Shadow Demon				V
Shadow Shaman	Tidehunter	T		O	Ogre Magi	Templar Assassin		Shadow Fiend	V	Shadow Shaman				Viper
Silencer	Timbersaw	Templar Assassin		Oracle	Omniknight	Terrorblade		Shadow Shaman	Vengeful Spirit	Silencer				Visage
Skywrath Mage	Tiny	Terrorblade		Outworld Devourer	P	Tinker		Silencer	Venomancer	Skeleton King				W
Storm Spirit	Treant Protector	Troll Warlord		P	Pangolier	Tiny		Skywrath Mage	Viper	Skywrath Mage				Wraith King
T	Tusk	U		Phoenix	Phantom Assassin	Troll Warlord		Slark	W	Slardar				
Techies	U	Ursa		Puck	Phantom Lancer	U		Sniper	Warlock	Slark				
Tinker	Underlord	V		Pugna	Pudge	Ursa		Storm Spirit	Wraith King	Spirit Breaker				
V	Undying	Vengeful Spirit		Q	R	V		Sven		Storm Spirit				
Visage	W	Venomancer		Queen of Pain	Riki	Viper		T		Sven				
W	Wraith King	Viper		R	S	W		Techies		T				
Warlock		W		Razor	Sand King	Weaver		Terrorblade		Techies				
Windranger		Weaver		Rubick	Slardar	Windranger		Tidehunter		Tidehunter				
Winter Wyvern				S	Slark	Wraith King		Timbersaw		Tiny				
Witch Doctor				Shadow Demon	Spectre			Tinker		Treant Protector				
Z				Shadow Fiend	Spirit Breaker			Tiny		Troll Warlord				
Zeus				Shadow Shaman	Sven			Tusk		Tusk				
				Silencer	T			U		U				
				Skywrath Mage	Terrorblade			Underlord		Underlord				
				Sniper	Tidehunter			Undying		Undying				
				Storm Spirit	Timbersaw			V		Ursa				
				T	Tiny			Vengeful Spirit		V				
				Techies	Treant Protector			Venomancer		Vengeful Spirit				
				Templar Assassin	Tusk			Visage		Venomancer				
				Tinker	U			W		Viper				
				Troll Warlord	Underlord			Windranger		Visage				
				V	Undying			Winter Wyvern		W				
				Vengeful Spirit	Ursa			Witch Doctor		Warlock				
				Venomancer	W			Z		Windranger				
				Viper	Wraith King			Zeus		Winter Wyvern				
				Visage						Witch Doctor				
				W						Wraith King				
				Warlock										
				Weaver										
				Windranger										
				Winter Wyvern										
				Witch Doctor										
				Z										
				Zeus										
